CID;LID;NID;NAME;NCOMMENT;OFFICIALNAME
852;1;106;3 sz. főút: M3, Gyöngyös nyugat - lehajtó Tornyosnémeti felől;;
852;1;107;3. sz. főút;;
852;1;108;3. sz. főút, Kistarcsa;;
852;1;109;3. sz. főút: Tornyosnémeti - felhajtó Budapest felé;;
852;1;110;3. sz. főút: Tornyosnémeti - felhajtó Tornyosnémeti határátkelő felé;;
852;1;111;3. sz. főút: Tornyosnémeti - lehajtó Budapest felől;;
852;1;112;3. sz. főút: Tornyosnémeti - lehajtó Tornyosnémeti határátkelő felől;;
852;1;113;302. sz. főút;;
852;1;114;304. sz. főút;;
852;1;115;306. sz. főút;;
852;1;116;306. sz. főút: Miskolc 26. sz. főút - felhajtó M30 Miskolc észak felé;;
852;1;117;306. sz. főút: Miskolc 26. sz. főút - lehajtó M30 Miskolc észak felől;;
852;1;118;31. sz. főút;;
852;1;119;3101. sz. út;;
852;1;120;3102. sz. út;;
852;1;121;3103. sz. út;;
852;1;122;3105. sz. út;;
852;1;123;311. sz. főút;;
852;1;124;3111. sz. út;;
852;1;125;3112. sz. út;;
852;1;126;3115. sz. út;;
852;1;127;3122. sz. út;;
852;1;128;3123. sz út;;
852;1;129;3123. sz. út;;
852;1;130;3124. sz. út;;
852;1;131;32. sz. főút;;
852;1;132;32. sz. főút: Abony kelet - lehajtó Hatvan felől;;
852;1;133;3206. sz. út;;
852;1;134;3208. sz. út;;
852;1;135;3210. sz. út;;
852;1;136;32136. sz. út;;
852;1;137;3225. sz. út;;
852;1;138;33 sz. főút: Füzesabony dél - felhajtó Debrecen Árpád tér felé;;
852;1;139;33 sz. főút: Füzesabony dél - felhajtó Füzesabony körforgalom felé;;
852;1;140;33 sz. főút: Füzesabony dél - lehajtó Debrecen Árpád tér felől;;
852;1;141;33 sz. főút: Füzesabony dél - lehajtó Füzesabony körforgalom felől;;
852;1;142;33. sz. főút;;
852;1;143;3302. sz. út;;
852;1;144;3305. sz. út;;
852;1;145;3307. sz. út;;
852;1;146;3313. sz. út;;
852;1;147;3317. sz. út;;
852;1;148;3318. sz. út;;
852;1;149;3323. sz. út;;
852;1;150;338. sz. főút;;
852;1;151;35. sz. főút;;
852;1;152;3502. sz. út;;
852;1;153;354 sz. főút: Debrecen É-i elkerülő - felhajtó Hajdúhadház felé;;
852;1;154;354 sz. főút: Debrecen É-i elkerülő - lehajtó Debrecen ipartelep felől;;
852;1;155;354 sz. főút: M35 autópálya - felhajtó Debrecen ipartelep felé;;
852;1;156;354 sz. főút: M35 autópálya - lehajtó Debrecen ipartelep felől;;
852;1;157;354. sz főút: M35 autópálya - felhajtó Hajdúhadház felé;;
852;1;158;354. sz. főút;;
852;1;159;354. sz. főút: M35 autópálya - lehajtó Hajdúhadház felől;;
852;1;160;36. sz. főút;;
852;1;161;3603. sz. út;;
852;1;162;37 sz. főút: Alsózsolcai Ipartelep - lehajtó Felsőzsolca felől;;
852;1;163;37 sz. főút: Belegrádi bekötő út - lehajtó Felsőzsolca felől;;
852;1;164;37 sz. főút: Belegrádi bekötő út - lehajtó Sátoraljaújhely felől;;
852;1;165;38. sz. főút;;
852;1;166;38. sz., főút;;
852;1;167;38124. sz. út;;
852;1;168;3813. sz. út;;
852;1;169;3822. sz. út;;
852;1;170;3832. sz. út;;
852;1;171;3839. sz. út;;
852;1;172;4 sz. főút: Törökszentmiklós, 46. sz főút - felhajtó Budapest felé;;
852;1;173;4 sz. főút: Törökszentmiklós, 46. sz főút - felhajtó Záhony felé;;
852;1;174;4 sz. főút: Törökszentmiklós, 46. sz főút - lehajtó Budapest felől;;
852;1;175;4. sz. főút;;
852;1;176;4. sz. főút: Abony kelet - felhajtó Budapest felé;;
852;1;177;4. sz. főút: Abony kelet - felhajtó Záhony határátkelőhely felé;;
852;1;178;4. sz. főút: Abony kelet - lehajtó Záhony határátkelőhely felől;;
852;1;179;4. sz. főút: Szolnok Holt Tisza-híd - felhajtó Budapest felé;;
852;1;180;4. sz. főút: Szolnok Holt Tisza-híd - felhajtó Záhony felé;;
852;1;181;4. sz. főút: Szolnok Holt Tisza-híd - lehajtó Budapest felől;;
852;1;182;4. sz. főút: Szolnok Holt Tisza-híd - lehajtó Záhony felől;;
852;1;183;4. sz. főút: Szolnok Tószeg - felhajtó Záhony határátkelőhely felé;;
852;1;184;4. sz. főút: Szolnok Tószeg - lehajtó Záhony határátkelőhely felől;;
852;1;185;4. sz. főút: Szolnok Tószegi kereszteződés - felhajtó Budapest felé;;
852;1;186;4. sz. főút: Szolnok Tószegi kereszteződés - lehajtó Budapest felől;;
852;1;187;4. sz. út;;
852;1;188;403. sz. főút;;
852;1;189;404. sz. főút;;
852;1;190;405 sz. főút: Albertirsa csomópont - felhajtó M4: Albertirsa felé;;
852;1;191;405 sz. főút: Albertirsa csomópont - felhajtó M5: Újhartyán felé;;
852;1;192;405 sz. főút: Albertirsa csomópont - lehajtó M4: Albertirsa felől;;
852;1;193;405 sz. főút: Albertirsa csomópont - lehajtó M5: Újhartyán felől;;
852;1;194;405. sz. főút;;
852;1;195;406. sz főút;;
852;1;196;41. sz. főút;;
852;1;197;4103. sz. út;;
852;1;198;4105. sz. út;;
852;1;199;4108. sz. út;;
852;1;200;4109. sz. út;;
852;1;201;4111. sz. út;;
