CID;TABCD;LCD;CLASS;TCD;STCD;NID;POL_LCD
852;3;2886;A;8;0;9826;16
852;3;2706;A;8;0;9825;16
852;3;920;A;8;0;9888;16
852;3;3108;A;8;0;9830;16
852;3;2455;A;8;0;9829;16
852;3;2776;A;8;0;10207;16
852;3;3022;A;8;0;10205;16
852;3;2090;A;8;0;10202;16
852;3;2116;A;8;0;10212;16
852;3;2777;A;8;0;10211;16
852;3;2877;A;8;0;10209;16
852;3;2209;A;8;0;10192;16
852;3;1814;A;8;0;10177;16
852;3;2053;A;8;0;10131;16
852;3;1687;A;8;0;10200;16
852;3;2721;A;8;0;10198;16
852;3;2761;A;8;0;10195;16
852;3;2115;A;8;0;9728;16
852;3;1621;A;8;0;9067;16
852;3;1846;A;8;0;9044;16
852;3;910;A;8;0;8970;16
852;3;2634;A;8;0;9155;16
852;3;2541;A;8;0;9139;16
852;3;1483;A;8;0;9078;16
852;3;1751;A;8;0;8654;16
852;3;1620;A;8;0;8635;16
852;3;3125;A;8;0;8610;16
852;3;1656;A;8;0;8961;16
852;3;2106;A;8;0;8958;16
852;3;2594;A;8;0;8720;16
852;3;3045;A;8;0;9541;16
852;3;2417;A;8;0;9538;16
852;3;2740;A;8;0;9537;16
852;3;2313;A;8;0;9613;16
852;3;1569;A;8;0;9595;16
852;3;2620;A;8;0;9550;16
852;3;2559;A;8;0;9262;16
852;3;3098;A;8;0;9259;16
852;3;2392;A;8;0;9257;16
852;3;2767;A;8;0;9490;16
852;3;2114;A;8;0;9486;16
852;3;2844;A;8;0;9386;16
852;3;2962;A;8;0;3198;17
852;3;2194;A;8;0;10435;17
852;3;2398;A;8;0;10434;17
852;3;1982;A;8;0;10432;17
852;3;2475;A;8;0;10441;17
852;3;775;A;8;0;10439;17
852;3;1724;A;8;0;10436;17
852;3;2348;A;8;0;10370;17
852;3;1848;A;8;0;10246;17
852;3;1123;A;8;0;10081;17
852;3;534;A;8;0;10398;17
852;3;945;A;8;0;10373;17
852;3;1211;A;8;0;10371;17
852;3;1114;A;8;0;11291;17
852;3;1374;A;8;0;11279;17
852;3;1815;A;8;0;11241;17
852;3;743;A;8;0;11315;17
852;3;1395;A;8;0;11310;17
852;3;1750;A;8;0;11300;17
852;3;1358;A;8;0;10601;17
852;3;1058;A;8;0;10503;17
852;3;2278;A;8;0;10443;17
852;3;663;A;8;0;11144;17
852;3;2232;A;8;0;11022;17
852;3;3165;A;8;0;10969;17
852;3;1722;A;8;0;9863;17
852;3;1622;A;8;0;9224;17
852;3;912;A;8;0;9176;17
852;3;1892;A;8;0;9173;17
852;3;1887;A;8;0;9275;17
852;3;521;A;8;0;9263;17
852;3;1184;A;8;0;9240;17
852;3;2492;A;8;0;8929;17
852;3;1790;A;8;0;8928;17
852;3;774;A;8;0;8907;17
852;3;1141;A;8;0;8951;17
852;3;506;A;8;0;8946;17
852;3;2211;A;8;0;8939;17
852;3;1069;A;8;0;9733;17
852;3;295;A;8;0;9701;17
852;3;1193;A;8;0;9586;17
852;3;1180;A;8;0;9835;17
852;3;1268;A;8;0;9802;17
852;3;2925;A;8;0;9736;17
852;3;819;A;8;0;9395;17
852;3;1708;A;8;0;9345;17
852;3;1376;A;8;0;9343;17
852;3;565;A;8;0;9520;17
852;3;881;A;8;0;9481;17
852;3;875;A;8;0;9462;17
852;3;799;A;8;0;11317;17
852;3;179;A;8;0;11961;17
852;3;2073;A;8;0;11874;17
852;3;1946;A;8;0;11864;17
852;3;2221;A;8;0;12295;17
852;3;316;A;8;0;12286;17
852;3;1011;A;8;0;11981;17
852;3;1762;A;8;0;11761;17
852;3;1444;A;8;0;11688;17
852;3;121;A;8;0;11673;17
852;3;1447;A;8;0;11858;17
852;3;410;A;8;0;11833;17
852;3;2571;A;8;0;11775;17
852;3;2282;A;8;0;1297;19
852;3;830;A;8;0;1295;19
852;3;1596;A;8;0;906;19
852;3;2165;A;8;0;1549;19
852;3;2407;A;8;0;1398;19
852;3;225;A;8;0;1300;19
852;3;205;A;8;0;933;5
852;3;1715;A;8;0;12525;17
852;3;2217;A;8;0;12498;17
852;3;1281;A;8;0;821;19
852;3;1698;A;8;0;767;19
852;3;1714;A;8;0;749;19
852;3;1843;A;8;0;11672;17
852;3;1752;A;8;0;11403;17
852;3;249;A;8;0;11394;17
852;3;1659;A;8;0;11389;17
852;3;1538;A;8;0;11421;17
852;3;2091;A;8;0;11413;17
852;3;814;A;8;0;11404;17
852;3;445;A;8;0;11338;17
852;3;643;A;8;0;11335;17
852;3;2643;A;8;0;11323;17
852;3;1495;A;8;0;11386;17
852;3;981;A;8;0;11373;17
852;3;552;A;8;0;11348;17
852;3;1717;A;8;0;11630;17
852;3;612;A;8;0;11621;17
852;3;576;A;8;0;11556;17
852;3;744;A;8;0;11655;17
852;3;448;A;8;0;11648;17
852;3;1842;A;8;0;11641;17
852;3;118;A;8;0;11454;17
