CID;TABCD;LCD;CLASS;TCD;STCD;ROADNUMBER;RNID;N1ID;N2ID;POL_LCD;PES_LEV;RDID
852;3;6163;L;7;0;;;3438;3434;28;;
852;3;6159;L;7;0;;;3438;3448;28;;
852;3;6628;L;7;0;;;3446;3434;28;;
852;3;4231;L;7;0;;;3446;3719;718;;
852;3;6161;L;7;0;;;3448;3438;28;;
852;3;4811;L;7;0;;;3450;1806;1048;;
852;3;5857;L;7;0;;;3450;1806;1048;;
852;3;4241;L;7;0;;;3450;3719;1048;;
852;3;6622;L;7;0;;;3450;3720;1048;;
852;3;6624;L;7;0;;;3450;1806;1048;;
852;3;51152;L;1;3;8222;;3452;3492;10;;
852;3;4801;L;7;0;;;3455;1806;718;;
852;3;5413;L;7;0;;;3455;3490;28;;
852;3;50042;L;1;3;1302;;3459;11884;10;;
852;3;50003;L;1;2;13;;3466;8167;13;;
852;3;50814;L;1;3;6236;;3468;8331;19;;
852;3;4809;L;7;0;;;3470;1806;28;;
852;3;4239;L;7;0;;;3470;3719;28;;
852;3;4807;L;7;0;;;3473;1806;339;;
852;3;4237;L;7;0;;;3473;3719;339;;
852;3;51233;L;1;3;8503;;3482;3483;10;;
852;3;4805;L;7;0;;;3484;1806;895;;
852;3;4235;L;7;0;;;3484;3719;895;;
852;3;4803;L;7;0;;;3489;1806;28;;
852;3;4267;L;7;0;;;3489;3434;28;;
852;3;4233;L;7;0;;;3489;3719;895;;
852;3;4841;L;7;0;;;3489;5790;28;;
852;3;4265;L;7;0;;;3490;3455;28;;
852;3;4839;L;7;0;;;3490;5790;28;;
852;3;50612;L;1;3;4922;;3494;2819;17;;
852;3;50603;L;1;2;491;;3495;11311;17;;
852;3;51169;L;1;3;83129;;3503;3499;10;;
852;3;51040;L;1;3;7442;;3505;3257;20;;
852;3;50508;L;1;3;4431;;3513;2201;6;;
852;3;50471;L;1;3;4434;;3520;7723;2;;
852;3;50388;L;1;3;4106;;3523;4187;17;;
852;3;50458;L;1;3;4239;;3524;1378;6;;
852;3;51588;L;5;0;;3383;3539;2810;3187;;
852;3;51362;L;5;0;;737;3540;5359;3188;;
852;3;51077;L;1;3;7535;;3543;10144;22;;
852;3;4401;L;7;0;;;3547;2271;56;;
852;3;4979;L;7;0;;;3547;6039;56;;
852;3;50286;L;1;3;3507;;3549;3564;11;;
852;3;50288;L;1;3;3509;;3552;11676;2;;
852;3;50267;L;1;3;3319;;3554;3550;11;;
852;3;50283;L;1;3;3504;;3557;11677;2;;
852;3;50596;L;1;3;4902;;3564;3581;11;;
852;3;50285;L;1;3;3506;;3566;3565;11;;
852;3;4929;L;7;0;;;3567;1806;97;;
852;3;4355;L;7;0;;;3567;11961;97;;
852;3;50265;L;1;3;3317;;3571;8783;2;;
852;3;4397;L;7;0;;;3574;2271;56;;
852;3;4975;L;7;0;;;3574;6039;56;;
852;3;4931;L;7;0;;;3575;1806;97;;
852;3;4357;L;7;0;;;3575;11961;97;;
852;3;6488;L;1;3;4931;;3580;3579;155;;
852;3;50592;L;1;3;4816;;3591;2328;11;;
852;3;50373;L;1;3;4804;;3592;3585;11;;
852;3;4889;L;7;0;;;3607;1806;611;;
852;3;4315;L;7;0;;;3607;11961;611;;
852;3;50052;L;1;3;1407;;3609;2534;10;;
852;3;4157;L;7;0;;;3610;1772;72;;
852;3;4723;L;7;0;;;3610;1787;72;;
852;3;50319;L;1;3;3703;;6327;581;7;;
852;3;50176;L;1;3;2624;;6327;1869;7;;
852;3;51990;L;5;0;;10518;3621;3377;3194;;
852;3;4819;L;7;0;;;3627;1806;3161;;
852;3;4249;L;7;0;;;3627;3719;3161;;
852;3;50804;L;1;3;6217;;3631;8464;9;;
852;3;50825;L;1;3;6317;;3637;10111;19;;
852;3;4779;L;7;0;;;3644;1806;34;;
852;3;4209;L;7;0;;;3644;3719;34;;
852;3;50756;L;1;3;5717;;3648;3647;447;;
852;3;50759;L;1;3;5804;;3650;2258;2;;
852;3;51575;L;5;0;;3280;3657;4214;3186;;
852;3;51846;L;5;0;;8439;3678;3367;23;;
852;3;51583;L;5;0;;3350;3678;5160;3185;;
852;3;51970;L;5;0;;10292;3678;9398;3185;;
852;3;51847;L;5;0;;8441;3678;11617;23;;
852;3;51540;L;5;0;;2966;3678;11748;3185;;
852;3;51817;L;5;0;;7873;3678;11748;23;;
852;3;51623;L;5;0;;3893;3679;4766;3197;;
852;3;51709;L;5;0;;4695;3679;10534;3197;;
852;3;6330;L;7;0;;;3691;2016;159;;
852;3;6354;L;7;0;;;3691;5547;246;;
852;3;6346;L;7;0;;;3691;8350;74;;
852;3;6338;L;7;0;;;3691;9243;159;;
852;3;6322;L;7;0;;;3691;9244;159;;
852;3;50059;L;1;2;21;;3691;10245;2;;
852;3;6382;L;7;0;;;3691;10990;803;;
852;3;50218;L;1;3;3201;;3693;903;12;;
852;3;4881;L;7;0;;;3694;1806;395;;
852;3;4307;L;7;0;;;3694;11961;395;;
852;3;50110;L;1;3;2401;;3696;5552;12;;
852;3;50113;L;1;3;2404;;3704;9868;12;;
852;3;50086;L;1;3;2131;;3704;10485;2;;
852;3;50055;L;1;3;1411;;3710;5504;10;;
852;3;50049;L;1;3;1403;;3711;3712;10;;
852;3;51658;L;5;0;;4133;3716;833;3188;;
852;3;51475;L;5;0;;2217;3716;2364;3177;;
852;3;51825;L;5;0;;7954;3716;5289;3177;;
852;3;51521;L;5;0;;2773;3716;10337;23;;
852;3;5375;L;7;0;;;3719;920;215;;
852;3;5353;L;7;0;;;3719;1517;143;;
852;3;5391;L;7;0;;;3719;1696;1455;;
852;3;5849;L;7;0;;;3719;1772;194;;
852;3;5345;L;7;0;;;3719;1787;194;;
852;3;4827;L;7;0;;;3719;1806;418;;
852;3;5377;L;7;0;;;3719;3321;215;;
852;3;5369;L;7;0;;;3719;3346;69;;
852;3;5389;L;7;0;;;3719;3450;1048;;
852;3;5379;L;7;0;;;3719;3455;718;;
852;3;5387;L;7;0;;;3719;3470;28;;
852;3;5385;L;7;0;;;3719;3473;339;;
852;3;5383;L;7;0;;;3719;3484;895;;
852;3;5381;L;7;0;;;3719;3489;895;;
852;3;5397;L;7;0;;;3719;3626;3161;;
852;3;5357;L;7;0;;;3719;3644;34;;
852;3;4257;L;7;0;;;3719;3722;418;;
852;3;50006;L;1;2;101;;3719;3723;418;;
852;3;5349;L;7;0;;;3719;3778;1142;;
852;3;5371;L;7;0;;;3719;3997;696;;
852;3;5347;L;7;0;;;3719;4047;288;;
