CID;TABCD;LCD;CLASS;TCD;STCD;JUNCTIONNUMBER;RNID;N1ID;N2ID;POL_LCD;OTH_LCD;SEG_LCD;ROA_LCD;INPOS;INNEG;OUTPOS;OUTNEG;PRESENTPOS;PRESENTNEG;DIVERSIONPOS;DIVERSIONNEG;XCOORD;YCOORD;INTERRUPTSROAD;URBAN;JNID
852;3;24134;P;1;12;;;3782;;675;;;50648;1;1;1;1;1;1;;;+01894420;+4595210;;0;
852;3;24135;P;1;12;;;3885;;675;;;50648;1;1;1;1;1;1;;;+01887630;+4594330;;0;
852;3;24136;P;1;12;;;3906;;88;;;50648;1;1;1;1;1;1;;;+01874030;+4600780;;0;
852;3;20658;P;1;12;;;3784;;771;;;50088;1;1;1;1;1;1;;;+01963170;+4770590;;0;
852;3;20659;P;1;15;;;45;;246;;;50088;1;1;1;1;1;1;;;+01966450;+4773120;;0;
852;3;20660;P;1;12;;;5550;;246;;;50088;1;1;1;1;1;1;;;+01967480;+4773730;;0;
852;3;20661;P;1;12;;;5553;;246;;;50088;1;1;1;1;1;1;;;+01967850;+4773770;;0;
852;3;29217;P;1;11;;2775;3792;;3190;;;51522;1;1;1;1;1;1;;;+01909033;+4751543;;0;
852;3;29218;P;1;11;;2775;3963;;3190;;;51522;1;1;1;1;1;1;;;+01909199;+4751625;29219;0;
852;3;29219;P;1;12;;2775;7961;;3190;;;51522;1;1;1;1;1;1;;;+01909366;+4751723;29218;0;
852;3;29220;P;1;11;;2775;5401;;3190;;;51522;1;1;1;1;1;1;;;+01909758;+4751975;;0;
852;3;29221;P;1;11;;2775;9846;;3190;;;51522;1;1;1;1;1;1;;;+01910085;+4752190;;0;
852;3;29222;P;1;11;;2775;8270;;3190;;;51522;1;1;1;1;1;1;;;+01910174;+4752264;;0;
852;3;29223;P;1;11;;2775;3088;;3190;;;51522;1;1;1;1;1;1;;;+01910477;+4752603;;0;
852;3;29224;P;1;11;;2775;9726;;3190;;;51522;1;1;1;1;1;1;;;+01910719;+4752885;;0;
852;3;29225;P;1;11;;2775;8102;;3190;;;51522;1;1;1;1;1;1;;;+01911049;+4753234;;0;
852;3;29226;P;1;11;;2775;9081;;3190;;;51522;1;1;1;1;1;1;;;+01911257;+4753458;;0;
852;3;29227;P;1;11;;2775;5091;;3191;;;51522;1;1;1;1;1;1;;;+01911396;+4753597;;0;
852;3;29839;P;1;11;;4288;3792;;3190;;;51675;1;1;1;1;1;1;;;+01908567;+4751860;;0;
852;3;29840;P;1;11;;4288;3963;;3190;;;51675;1;1;1;1;1;1;;;+01908871;+4751880;;0;
852;3;29841;P;1;11;;4288;6070;1929;3190;;;51675;1;1;1;1;1;1;;;+01909151;+4752101;;0;
852;3;29842;P;1;11;;4288;6070;5401;3190;;;51675;1;1;1;1;1;1;;;+01909413;+4752273;;0;
852;3;29843;P;1;11;;4288;4482;;3190;;;51675;1;1;1;1;1;1;;;+01909592;+4752418;;0;
852;3;29844;P;1;12;;4288;9726;;3190;;;51675;1;1;1;1;1;1;;;+01910128;+4753146;;0;
852;3;29845;P;1;11;;4288;6070;10020;3190;;;51675;1;1;1;1;1;1;;;+01910340;+4753487;;0;
852;3;29846;P;1;12;;4288;10020;;3190;;;51675;1;1;1;1;1;1;;;+01910387;+4753489;;0;
852;3;29847;P;1;12;;4288;10978;;3190;;;51675;1;1;1;1;1;1;;;+01910726;+4753836;;0;
852;3;21281;P;1;9;;;3843;;1244;;;50183;1;1;1;1;1;1;;;+02122999;+4849947;;0;
852;3;21282;P;1;12;;;3844;;1957;;;50183;1;1;1;1;1;1;;;+02123660;+4850610;;0;
852;3;21283;P;1;12;;;11554;;1957;;;50183;1;1;1;1;1;1;;;+02125343;+4852658;;0;
852;3;21132;P;1;12;;;3808;;2355;;;50179;1;1;1;1;1;1;;;+02110400;+4846190;;0;
852;3;21133;P;1;12;;;3803;;1563;;;50179;1;1;1;1;1;1;;;+02116760;+4844460;;0;
