CID;TABCD;LCD;INT_CID;INT_TABCD;INT_LCD
852;3;7639;852;3;25876
852;3;25876;852;3;7633
852;3;7629;852;3;7631
852;3;7631;852;3;25875
852;3;25875;852;3;27460
852;3;27460;852;3;7629
852;3;7621;852;3;7623
852;3;7623;852;3;7625
852;3;7625;852;3;7627
852;3;7627;852;3;25874
852;3;25874;852;3;27459
852;3;27459;852;3;7621
852;3;7595;852;3;24550
852;3;24550;852;3;24556
852;3;24556;852;3;7595
852;3;7591;852;3;7593
852;3;7593;852;3;24031
852;3;24031;852;3;7591
852;3;7587;852;3;7589
852;3;7589;852;3;22306
852;3;22306;852;3;22676
852;3;22676;852;3;7587
852;3;7567;852;3;7569
852;3;7569;852;3;7571
852;3;7571;852;3;7573
852;3;7573;852;3;21597
852;3;21597;852;3;7567
852;3;7563;852;3;7565
852;3;7565;852;3;8173
852;3;8173;852;3;8175
852;3;8175;852;3;20968
852;3;20968;852;3;21214
852;3;21214;852;3;7563
852;3;7555;852;3;7557
852;3;7557;852;3;7559
852;3;7559;852;3;7561
852;3;7561;852;3;20469
852;3;20469;852;3;7555
852;3;7547;852;3;7549
852;3;7549;852;3;7551
852;3;7551;852;3;7553
852;3;7553;852;3;20462
852;3;20462;852;3;20653
852;3;20653;852;3;20802
852;3;20802;852;3;7547
852;3;7545;852;3;25108
852;3;25108;852;3;7545
852;3;7530;852;3;7532
852;3;7532;852;3;7534
852;3;7534;852;3;7536
852;3;7536;852;3;7538
852;3;7538;852;3;7540
852;3;7540;852;3;7542
852;3;7542;852;3;7544
852;3;7544;852;3;8195
852;3;8195;852;3;24991
852;3;24991;852;3;27002
852;3;27002;852;3;7530
852;3;7514;852;3;7516
852;3;7516;852;3;7518
852;3;7518;852;3;7520
852;3;7520;852;3;25865
852;3;25865;852;3;27292
852;3;27292;852;3;7514
852;3;7506;852;3;7508
852;3;7508;852;3;7510
852;3;7510;852;3;7512
852;3;7512;852;3;25867
852;3;25867;852;3;26018
852;3;26018;852;3;7506
852;3;7494;852;3;7496
852;3;7496;852;3;7498
852;3;7498;852;3;7500
852;3;7500;852;3;7502
852;3;7502;852;3;7504
852;3;7504;852;3;7653
852;3;7653;852;3;7728
852;3;7728;852;3;27221
852;3;27221;852;3;7494
852;3;7486;852;3;7488
852;3;7488;852;3;7490
852;3;7490;852;3;7492
852;3;7492;852;3;25869
852;3;25869;852;3;26064
852;3;26064;852;3;7486
852;3;7478;852;3;7480
852;3;7480;852;3;7482
852;3;7482;852;3;7484
852;3;7484;852;3;22286
852;3;22286;852;3;23425
852;3;23425;852;3;7478
852;3;7356;852;3;7358
852;3;7358;852;3;7356
852;3;7355;852;3;21225
852;3;21225;852;3;7355
852;3;7352;852;3;7362
852;3;7362;852;3;7364
852;3;7364;852;3;7366
852;3;7366;852;3;7368
852;3;7368;852;3;7352
852;3;7350;852;3;27908
852;3;27908;852;3;7350
852;3;7347;852;3;20823
852;3;20823;852;3;7347
852;3;7346;852;3;20468
852;3;20468;852;3;7346
852;3;7341;852;3;23189
852;3;23189;852;3;7341
852;3;7340;852;3;7342
852;3;7342;852;3;7340
852;3;7339;852;3;7343
852;3;7343;852;3;7339
852;3;7335;852;3;20414
852;3;20414;852;3;7335
852;3;7334;852;3;7336
852;3;7336;852;3;7334
852;3;7327;852;3;7446
852;3;7446;852;3;7456
852;3;7456;852;3;7458
852;3;7458;852;3;7460
852;3;7460;852;3;7327
852;3;7326;852;3;7448
852;3;7448;852;3;7450
852;3;7450;852;3;7452
852;3;7452;852;3;7454
852;3;7454;852;3;7326
852;3;7324;852;3;7325
852;3;7325;852;3;7438
852;3;7438;852;3;7440
852;3;7440;852;3;7442
852;3;7442;852;3;7444
852;3;7444;852;3;7324
852;3;7323;852;3;7430
852;3;7430;852;3;7432
852;3;7432;852;3;7434
852;3;7434;852;3;7436
852;3;7436;852;3;7323
852;3;7320;852;3;7321
852;3;7321;852;3;7320
852;3;7318;852;3;20025
852;3;20025;852;3;7318
852;3;7316;852;3;20415
852;3;20415;852;3;7316
852;3;7311;852;3;7313
852;3;7313;852;3;7311
852;3;7207;852;3;7307
852;3;7307;852;3;7207
852;3;7129;852;3;7297
852;3;7297;852;3;7299
852;3;7299;852;3;7301
852;3;7301;852;3;7303
852;3;7303;852;3;7129
852;3;7082;852;3;7322
852;3;7322;852;3;7422
852;3;7422;852;3;7424
852;3;7424;852;3;7426
852;3;7426;852;3;7428
852;3;7428;852;3;7082
852;3;7081;852;3;7359
852;3;7359;852;3;7414
852;3;7414;852;3;7416
852;3;7416;852;3;7418
852;3;7418;852;3;7420
852;3;7420;852;3;7081
852;3;6957;852;3;6959
852;3;6959;852;3;6957
852;3;6952;852;3;21194
852;3;21194;852;3;21595
852;3;21595;852;3;6952
852;3;6948;852;3;6950
852;3;6950;852;3;6948
852;3;6947;852;3;20914
852;3;20914;852;3;21198
852;3;21198;852;3;6947
852;3;6945;852;3;22414
852;3;22414;852;3;22471
852;3;22471;852;3;6945
852;3;6940;852;3;28035
852;3;28035;852;3;6940
852;3;6939;852;3;27784
852;3;27784;852;3;6939
852;3;6936;852;3;27288
852;3;27288;852;3;6936
852;3;6932;852;3;7710
852;3;7710;852;3;7730
852;3;7730;852;3;6932
852;3;6931;852;3;7088
852;3;7088;852;3;7090
852;3;7090;852;3;7092
852;3;7092;852;3;7094
852;3;7094;852;3;26728
852;3;26728;852;3;6931
852;3;6930;852;3;7084
852;3;7084;852;3;7086
852;3;7086;852;3;6930
852;3;6927;852;3;26480
852;3;26480;852;3;6927
852;3;6925;852;3;7098
852;3;7098;852;3;7100
852;3;7100;852;3;7102
852;3;7102;852;3;7104
852;3;7104;852;3;6925
852;3;6924;852;3;7106
852;3;7106;852;3;7108
852;3;7108;852;3;7110
852;3;7110;852;3;7112
852;3;7112;852;3;6924
852;3;6920;852;3;6921
852;3;6921;852;3;6982
852;3;6982;852;3;6984
852;3;6984;852;3;7118
852;3;7118;852;3;7120
852;3;7120;852;3;6920
852;3;6918;852;3;6951
852;3;6951;852;3;6974
852;3;6974;852;3;6976
852;3;6976;852;3;6978
852;3;6978;852;3;6980
852;3;6980;852;3;6918
852;3;6917;852;3;6919
852;3;6919;852;3;6966
852;3;6966;852;3;6968
852;3;6968;852;3;6970
852;3;6970;852;3;6972
852;3;6972;852;3;6917
852;3;6916;852;3;7386
852;3;7386;852;3;7388
852;3;7388;852;3;6916
852;3;6913;852;3;7390
852;3;7390;852;3;7392
852;3;7392;852;3;7394
852;3;7394;852;3;7396
852;3;7396;852;3;6913
852;3;6912;852;3;7378
852;3;7378;852;3;7380
852;3;7380;852;3;7382
852;3;7382;852;3;7384
852;3;7384;852;3;6912
852;3;6911;852;3;7265
852;3;7265;852;3;7267
852;3;7267;852;3;7269
852;3;7269;852;3;7271
852;3;7271;852;3;6911
852;3;6910;852;3;7273
852;3;7273;852;3;7275
852;3;7275;852;3;7277
852;3;7277;852;3;7279
852;3;7279;852;3;6910
852;3;6909;852;3;7370
852;3;7370;852;3;7372
852;3;7372;852;3;7374
852;3;7374;852;3;7376
852;3;7376;852;3;6909
852;3;6908;852;3;7281
852;3;7281;852;3;7283
852;3;7283;852;3;7285
852;3;7285;852;3;7287
852;3;7287;852;3;6908
852;3;6907;852;3;7289
852;3;7289;852;3;7291
852;3;7291;852;3;7293
852;3;7293;852;3;7295
852;3;7295;852;3;7354
852;3;7354;852;3;6907
852;3;6906;852;3;20899
852;3;20899;852;3;6906
852;3;6905;852;3;20766
852;3;20766;852;3;6905
852;3;6903;852;3;7114
852;3;7114;852;3;7116
852;3;7116;852;3;6903
852;3;6900;852;3;31379
852;3;31379;852;3;6900
852;3;6898;852;3;7010
852;3;7010;852;3;7012
852;3;7012;852;3;7014
852;3;7014;852;3;7016
852;3;7016;852;3;6898
852;3;6895;852;3;7225
852;3;7225;852;3;7227
852;3;7227;852;3;7229
852;3;7229;852;3;7231
852;3;7231;852;3;6895
852;3;6893;852;3;7233
852;3;7233;852;3;7235
852;3;7235;852;3;7237
852;3;7237;852;3;7239
852;3;7239;852;3;6893
852;3;6892;852;3;7241
852;3;7241;852;3;7243
852;3;7243;852;3;7245
852;3;7245;852;3;7247
852;3;7247;852;3;6892
852;3;6891;852;3;7249
852;3;7249;852;3;7251
852;3;7251;852;3;7253
852;3;7253;852;3;7255
852;3;7255;852;3;7360
852;3;7360;852;3;6891
852;3;6890;852;3;6901
852;3;6901;852;3;7257
852;3;7257;852;3;7259
852;3;7259;852;3;7261
852;3;7261;852;3;7263
852;3;7263;852;3;6890
852;3;6889;852;3;7074
852;3;7074;852;3;7076
852;3;7076;852;3;7078
852;3;7078;852;3;7080
852;3;7080;852;3;21461
852;3;21461;852;3;6889
852;3;6888;852;3;7066
852;3;7066;852;3;7068
852;3;7068;852;3;7070
852;3;7070;852;3;7072
852;3;7072;852;3;6888
852;3;6887;852;3;21432
852;3;21432;852;3;6887
852;3;6883;852;3;7199
852;3;7199;852;3;7201
852;3;7201;852;3;7203
852;3;7203;852;3;7205
852;3;7205;852;3;7816
852;3;7816;852;3;6883
852;3;6881;852;3;7330
852;3;7330;852;3;7462
852;3;7462;852;3;7464
852;3;7464;852;3;7466
852;3;7466;852;3;7468
852;3;7468;852;3;6881
852;3;6880;852;3;7191
852;3;7191;852;3;7193
852;3;7193;852;3;7195
852;3;7195;852;3;7197
852;3;7197;852;3;7331
852;3;7331;852;3;6880
852;3;6879;852;3;7183
852;3;7183;852;3;7185
852;3;7185;852;3;7187
852;3;7187;852;3;7189
852;3;7189;852;3;7308
852;3;7308;852;3;7309
852;3;7309;852;3;6879
852;3;6878;852;3;7175
852;3;7175;852;3;7177
852;3;7177;852;3;7179
852;3;7179;852;3;7181
